"","official_full","gender","party","state","birthday"
"270","Ed Perlmutter","M","Democrat","CO","1953-05-01"
"271","Gary C. Peters","M","Democrat","MI","1958-12-01"
"272","Collin C. Peterson","M","Democrat","MN","1944-06-29"
"273","Pedro R. Pierluisi","M","Democrat","PR","1959-04-26"
"274","Chellie Pingree","F","Democrat","ME","1955-04-02"
"275","Joseph R. Pitts","M","Republican","PA","1939-10-10"
"276","Ted Poe","M","Republican","TX","1948-09-10"
"277","Jared Polis","M","Democrat","CO","1975-05-12"
"278","Mike Pompeo","M","Republican","KS","1963-12-30"
"279","Rob Portman","M","Republican","OH","1955-12-19"
"280","Bill Posey","M","Republican","FL","1947-12-18"
"281","David E. Price","M","Democrat","NC","1940-08-17"
"282","Tom Price","M","Republican","GA","1954-10-08"
"283","Mike Quigley","M","Democrat","IL","1958-10-17"
"284","Charles B. Rangel","M","Democrat","NY","1930-06-11"
"285","Tom Reed","M","Republican","NY","1971-11-18"
"286","David G. Reichert","M","Republican","WA","1950-08-29"
"287","Harry Reid","M","Democrat","NV","1939-12-02"
"288","James B. Renacci","M","Republican","OH","1958-12-03"
"289","Reid J. Ribble","M","Republican","WI","1956-04-05"
"290","Cedric L. Richmond","M","Democrat","LA","1973-09-13"
"291","E. Scott Rigell","M","Republican","VA","1960-05-28"
"292","Martha Roby","F","Republican","AL","1976-07-27"
"293","David P. Roe","M","Republican","TN","1945-07-21"
"294","Harold Rogers","M","Republican","KY","1937-12-31"
"295","Mike Rogers","M","Republican","AL","1958-07-16"
"296","Dana Rohrabacher","M","Republican","CA","1947-06-21"
"297","Todd Rokita","M","Republican","IN","1970-02-09"
"298","Thomas J. Rooney","M","Republican","FL","1970-11-21"
"299","Ileana Ros-Lehtinen","F","Republican","FL","1952-07-15"
"300","Peter J. Roskam","M","Republican","IL","1961-09-13"
"301","Dennis A. Ross","M","Republican","FL","1959-10-18"
"302","Lucille Roybal-Allard","F","Democrat","CA","1941-06-12"
"303","Edward R. Royce","M","Republican","CA","1951-10-12"
"304","Marco Rubio","M","Republican","FL","1971-05-28"
"305","C. A. Dutch Ruppersberger","M","Democrat","MD","1946-01-31"
"306","Bobby L. Rush","M","Democrat","IL","1946-11-23"
"307","Paul D. Ryan","M","Republican","WI","1970-01-29"
"308","Tim Ryan","M","Democrat","OH","1973-07-16"
"309","Gregorio Kilili Camacho Sablan","M","Democrat","MP","1955-01-19"
"310","Loretta Sanchez","F","Democrat","CA","1960-01-07"
"311","John P. Sarbanes","M","Democrat","MD","1962-05-22"
"312","Steve Scalise","M","Republican","LA","1965-10-06"
"313","Janice D. Schakowsky","F","Democrat","IL","1944-05-26"
"314","Adam B. Schiff","M","Democrat","CA","1960-06-22"
"315","Kurt Schrader","M","Democrat","OR","1951-10-19"
"316","Charles E. Schumer","M","Democrat","NY","1950-11-23"
"317","David Schweikert","M","Republican","AZ","1962-03-03"
"318","Austin Scott","M","Republican","GA","1969-12-10"
"319","David Scott","M","Democrat","GA","1945-06-27"
"320","Robert C. ""Bobby"" Scott","M","Democrat","VA","1947-04-30"
"321","Tim Scott","M","Republican","SC","1965-09-19"
"322","F. James Sensenbrenner Jr.","M","Republican","WI","1943-06-14"
"323","José E. Serrano","M","Democrat","NY","1943-10-24"
"324","Pete Sessions","M","Republican","TX","1955-03-22"
"325","Terri A. Sewell","F","Democrat","AL","1965-01-01"
"326","Richard C. Shelby","M","Democrat","AL","1934-05-06"
"327","Brad Sherman","M","Democrat","CA","1954-10-24"
"328","John Shimkus","M","Republican","IL","1958-02-21"
"329","Bill Shuster","M","Republican","PA","1961-01-10"
"330","Michael K. Simpson","M","Republican","ID","1950-09-08"
"331","Albio Sires","M","Democrat","NJ","1951-01-26"
"332","Louise McIntosh Slaughter","F","Democrat","NY","1929-08-14"
"333","Adam Smith","M","Democrat","WA","1965-06-15"
"334","Adrian Smith","M","Republican","NE","1970-12-19"
"335","Christopher H. Smith","M","Republican","NJ","1953-03-04"
"336","Lamar Smith","M","Republican","TX","1947-11-19"
"337","Jackie Speier","F","Democrat","CA","1950-05-14"
"338","Steve Stivers","M","Republican","OH","1965-03-24"
"339","Marlin A. Stutzman","M","Republican","IN","1976-08-31"
"340","Linda T. Sánchez","F","Democrat","CA","1969-01-28"
"341","Bennie G. Thompson","M","Democrat","MS","1948-01-28"
"342","Mike Thompson","M","Democrat","CA","1951-01-24"
"343","Glenn Thompson","M","Republican","PA","1959-07-27"
"344","Mac Thornberry","M","Republican","TX","1958-07-15"
"345","John Thune","M","Republican","SD","1961-01-07"
"346","Patrick J. Tiberi","M","Republican","OH","1962-10-21"
"347","Scott R. Tipton","M","Republican","CO","1956-11-09"
"348","Paul Tonko","M","Democrat","NY","1949-06-18"
"349","Patrick J. Toomey","M","Republican","PA","1961-11-17"
"350","Niki Tsongas","F","Democrat","MA","1946-04-26"
"351","Michael R. Turner","M","Republican","OH","1960-01-11"
"352","Fred Upton","M","Republican","MI","1953-04-23"
"353","Chris Van Hollen","M","Democrat","MD","1959-01-10"
"354","Nydia M. Velázquez","F","Democrat","NY","1953-03-28"
"355","Peter J. Visclosky","M","Democrat","IN","1949-08-13"
"356","David Vitter","M","Republican","LA","1961-05-03"
"357","Tim Walberg","M","Republican","MI","1951-04-12"
"358","Greg Walden","M","Republican","OR","1957-01-10"
"359","Timothy J. Walz","M","Democrat","MN","1964-04-06"
"360","Debbie Wasserman Schultz","F","Democrat","FL","1966-09-27"
"361","Maxine Waters","F","Democrat","CA","1938-08-15"
"362","Daniel Webster","M","Republican","FL","1949-04-27"
"363","Peter Welch","M","Democrat","VT","1947-05-02"
"364","Lynn A. Westmoreland","M","Republican","GA","1950-04-02"
"365","Joe Wilson","M","Republican","SC","1947-07-31"
"366","Frederica S. Wilson","F","Democrat","FL","1942-11-05"
"367","Robert J. Wittman","M","Republican","VA","1959-02-03"
"368","Steve Womack","M","Republican","AR","1957-02-18"
"369","Rob Woodall","M","Republican","GA","1970-02-11"
"370","Ron Wyden","M","Democrat","OR","1949-05-03"
"371","John A. Yarmuth","M","Democrat","KY","1947-11-04"
"372","Kevin Yoder","M","Republican","KS","1976-01-08"
"373","Don Young","M","Republican","AK","1933-06-09"
"374","Todd Young","M","Republican","IN","1972-08-24"
"375","Dean Heller","M","Republican","NV","1960-05-10"
"376","Mark E. Amodei","M","Republican","NV","1958-06-12"
"377","Suzanne Bonamici","F","Democrat","OR","1954-10-14"
"378","Suzan K. DelBene","F","Democrat","WA","1962-02-17"
"379","Thomas Massie","M","Republican","KY","1971-01-13"
"380","Donald M. Payne Jr.","M","Democrat","NJ","1958-12-17"
"381","Brian Schatz","M","Democrat","HI","1972-10-20"
"382","Matt Salmon","M","Republican","AZ","1958-01-21"
"383","Bill Foster","M","Democrat","IL","1955-10-07"
"384","Alan Grayson","M","Democrat","FL","1958-03-13"
"385","Ann Kirkpatrick","F","Democrat","AZ","1950-03-24"
"386","Dina Titus","F","Democrat","NV","1950-05-23"
"387","Tom Cotton","M","Republican","AR","1977-05-13"
"388","Kyrsten Sinema","F","Democrat","AZ","1976-07-12"
"389","Doug LaMalfa","M","Republican","CA","1960-07-02"
"390","Jared Huffman","M","Democrat","CA","1964-02-18"
"391","Ami Bera","M","Democrat","CA","1965-03-02"
"392","Paul Cook","M","Republican","CA","1943-03-03"
"393","Eric Swalwell","M","Democrat","CA","1980-11-16"
"394","David G. Valadao","M","Republican","CA","1977-04-14"
"395","Julia Brownley","F","Democrat","CA","1952-08-28"
"396","Tony Cárdenas","M","Democrat","CA","1963-03-31"
"397","Raul Ruiz","M","Democrat","CA","1972-08-25"
"398","Mark Takano","M","Democrat","CA","1960-12-10"
"399","Alan S. Lowenthal","M","Democrat","CA","1941-03-08"
"400","Juan Vargas","M","Democrat","CA","1961-03-07"
"401","Scott H. Peters","M","Democrat","CA","1958-06-17"
"402","Elizabeth H. Esty","F","Democrat","CT","1959-08-25"
"403","Ted S. Yoho","M","Republican","FL","1955-04-13"
"404","Ron DeSantis","M","Republican","FL","1978-09-14"
"405","Patrick Murphy","M","Democrat","FL","1983-03-30"
"406","Lois Frankel","F","Democrat","FL","1948-05-16"
"407","Doug Collins","M","Republican","GA","1966-08-16"
"408","Tulsi Gabbard","F","Democrat","HI","1981-04-12"
"409","Tammy Duckworth","F","Democrat","IL","1968-03-12"
"410","Rodney Davis","M","Republican","IL","1970-01-05"
"411","Cheri Bustos","F","Democrat","IL","1961-10-17"
"412","Jackie Walorski","F","Republican","IN","1963-08-17"
"413","Susan W. Brooks","F","Republican","IN","1960-08-25"
"414","Luke Messer","M","Republican","IN","1969-02-27"
"415","Andy Barr","M","Republican","KY","1973-07-24"
"416","Elizabeth Warren","F","Democrat","MA","1949-06-22"
"417","Joseph P. Kennedy III","M","Democrat","MA","1980-10-04"
"418","John K. Delaney","M","Democrat","MD","1963-04-16"
"419","Angus S. King, Jr.","M","Independent","ME","1944-03-31"
"420","Daniel T. Kildee","M","Democrat","MI","1958-08-11"
"421","Richard M. Nolan","M","Democrat","MN","1943-12-17"
"422","Ann Wagner","F","Republican","MO","1962-09-13"
"423","Steve Daines","M","Republican","MT","1962-08-20"
"424","Richard Hudson","M","Republican","NC","1971-11-04"
"425","Robert Pittenger","M","Republican","NC","1948-08-15"
"426","Mark Meadows","M","Republican","NC","1959-07-28"
"427","George Holding","M","Republican","NC","1968-04-17"
"428","Heidi Heitkamp","F","Democrat","ND","1955-10-30"
"429","Kevin Cramer","M","Republican","ND","1961-01-21"
"430","Deb Fischer","F","Republican","NE","1951-03-01"
"431","Ann M. Kuster","F","Democrat","NH","1956-09-05"
"432","Michelle Lujan Grisham","F","Democrat","NM","1959-10-24"
"433","Grace Meng","F","Democrat","NY","1975-10-01"
"434","Hakeem S. Jeffries","M","Democrat","NY","1970-08-04"
"435","Sean Patrick Maloney","M","Democrat","NY","1966-07-30"
"436","Chris Collins","M","Republican","NY","1950-05-20"
"437","Brad R. Wenstrup","M","Republican","OH","1958-06-17"
"438","Joyce Beatty","F","Democrat","OH","1950-03-12"
"439","David P. Joyce","M","Republican","OH","1957-03-17"
"440","Jim Bridenstine","M","Republican","OK","1975-06-15"
"441","Markwayne Mullin","M","Republican","OK","1977-07-26"
"442","Scott Perry","M","Republican","PA","1962-05-27"
"443","Keith J. Rothfus","M","Republican","PA","1962-04-25"
"444","Matt Cartwright","M","Democrat","PA","1961-05-01"
"445","Tom Rice","M","Republican","SC","1957-08-04"
"446","Ted Cruz","M","Republican","TX","1970-12-22"
"447","Randy K. Weber Sr.","M","Republican","TX","1953-07-02"
"448","Beto O'Rourke","M","Democrat","TX","1972-09-26"
"449","Joaquin Castro","M","Democrat","TX","1974-09-16"
"450","Roger Williams","M","Republican","TX","1949-09-13"
"451","Marc A. Veasey","M","Democrat","TX","1971-01-03"
"452","Filemon Vela","M","Democrat","TX","1963-02-13"
"453","Chris Stewart","M","Republican","UT","1960-07-15"
"454","Tim Kaine","M","Democrat","VA","1958-02-26"
"455","Derek Kilmer","M","Democrat","WA","1974-01-01"
"456","Denny Heck","M","Democrat","WA","1952-07-29"
"457","Mark Pocan","M","Democrat","WI","1964-08-14"
"458","Robin L. Kelly","F","Democrat","IL","1956-04-30"
"459","Mark Sanford","M","Republican","SC","1960-05-28"
"460","Jason Smith","M","Republican","MO","1980-06-16"
"461","Cory A. Booker","M","Democrat","NJ","1969-04-27"
"462","Katherine M. Clark","F","Democrat","MA","1963-07-17"
"463","Bradley Byrne","M","Republican","AL","1955-02-16"
"464","David W. Jolly","M","Republican","FL","1972-10-31"
"465","Curt Clawson","M","Republican","FL","1959-09-28"
"466","Dave Brat","M","Republican","VA","1964-07-27"
"467","Donald Norcross","M","Democrat","NJ","1958-12-13"
"468","Alma S. Adams","F","Democrat","NC","1946-05-27"
"469","Robert J. Dold","M","Republican","IL","1969-06-23"
"470","Frank C. Guinta","M","Republican","NH","1970-09-26"
"471","Gary J. Palmer","M","Republican","AL","1954-05-14"
"472","J. French Hill","M","Republican","AR","1956-12-05"
"473","Bruce Westerman","M","Republican","AR","1967-11-18"
"474","Martha McSally","F","Republican","AZ","1966-03-22"
"475","Ruben Gallego","M","Democrat","AZ","1979-11-20"
"476","Mark DeSaulnier","M","Democrat","CA","1952-03-31"
"477","Stephen Knight","M","Republican","CA","1966-12-17"
"478","Pete Aguilar","M","Democrat","CA","1979-06-19"
"479","Ted Lieu","M","Democrat","CA","1969-03-29"
"480","Norma J. Torres","F","Democrat","CA","1965-04-04"
"481","Mimi Walters","F","Republican","CA","1962-05-14"
"482","Ken Buck","M","Republican","CO","1959-02-16"
"483","Gwen Graham","F","Democrat","FL","1963-01-31"
"484","Carlos Curbelo","M","Republican","FL","1980-03-01"
"485","Earl L. ""Buddy"" Carter","M","Republican","GA","1957-09-06"
"486","Jody B. Hice","M","Republican","GA","1960-04-22"
"487","Barry Loudermilk","M","Republican","GA","1963-12-22"
"488","Rick W. Allen","M","Republican","GA","1951-11-07"
"489","Rod Blum","M","Republican","IA","1955-04-26"
"490","David Young","M","Republican","IA","1968-05-11"
"491","Mike Bost","M","Republican","IL","1960-12-30"
"492","Ralph Lee Abraham","M","Republican","LA","1954-09-16"
"493","Garret Graves","M","Republican","LA","1972-01-31"
"494","Seth Moulton","M","Democrat","MA","1978-10-24"
"495","Bruce Poliquin","M","Republican","ME","1953-11-01"
"496","John R. Moolenaar","M","Republican","MI","1961-05-08"
"497","Mike Bishop","M","Republican","MI","1967-03-18"
"498","David A. Trott","M","Republican","MI","1960-10-16"
"499","Debbie Dingell","F","Democrat","MI","1953-11-23"
"500","Brenda L. Lawrence","F","Democrat","MI","1954-10-18"
"501","Tom Emmer","M","Republican","MN","1961-03-03"
"502","Ryan K. Zinke","M","Republican","MT","1961-11-01"
"503","David Rouzer","M","Republican","NC","1972-02-16"
"504","Brad Ashford","M","Democrat","NE","1949-11-10"
"505","Thomas MacArthur","M","Republican","NJ","1960-10-16"
"506","Bonnie Watson Coleman","F","Democrat","NJ","1945-02-06"
"507","Cresent Hardy","M","Republican","NV","1957-06-23"
"508","Lee M. Zeldin","M","Republican","NY","1980-01-30"
"509","Kathleen M. Rice","F","Democrat","NY","1965-02-15"
"510","Elise M. Stefanik","F","Republican","NY","1984-07-02"
"511","John Katko","M","Republican","NY","1962-11-09"
"512","Steve Russell","M","Republican","OK","1963-05-25"
"513","Ryan A. Costello","M","Republican","PA","1976-09-07"
"514","Brendan F. Boyle","M","Democrat","PA","1977-02-06"
"515","John Ratcliffe","M","Republican","TX","1965-10-20"
"516","Will Hurd","M","Republican","TX","1977-08-19"
"517","Brian Babin","M","Republican","TX","1948-03-23"
"518","Mia B. Love","F","Republican","UT","1975-12-06"
"519","Donald S. Beyer Jr.","M","Democrat","VA","1950-06-20"
"520","Barbara Comstock","F","Republican","VA","1959-06-30"
"521","Stacey E. Plaskett","F","Democrat","VI","1964-05-13"
"522","Dan Newhouse","M","Republican","WA","1955-07-10"
"523","Glenn Grothman","M","Republican","WI","1955-07-03"
"524","Alexander X. Mooney","M","Republican","WV","1971-06-05"
"525","Evan H. Jenkins","M","Republican","WV","1960-09-12"
"526","Aumua Amata Coleman Radewagen","F","Republican","AS","1947-12-29"
"527","Daniel Sullivan","M","Republican","AK","1964-11-13"
"528","David Perdue","M","Republican","GA","1949-12-10"
"529","Joni Ernst","F","Republican","IA","1970-07-01"
"530","Thom Tillis","M","Republican","NC","1960-08-30"
"531","Mike Rounds","M","Republican","SD","1954-10-24"
"532","Mark Walker","M","Republican","NC","1969-05-20"
"533","Ben Sasse","M","Republican","NE","1972-02-22"
"534","Daniel M. Donovan Jr.","M","Republican","NY","1956-11-06"
"535","Trent Kelly","M","Republican","MS","1966-03-01"
"536","Darin LaHood","M","Republican","IL","1968-07-05"
"537","Warren Davidson","M","Republican","OH","1970-03-01"
"538","Colleen Hanabusa","F","Democrat","HI","1951-05-04"
"539","James Comer","M","Republican","KY","1972-08-19"
"540","Dwight Evans","M","Democrat","PA","1954-05-16"
